**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -1.04112924E-07 1.00000000E-04
-1.00000000E-04 1.22795775E-06 1.00000000E-04
-1.00000000E-04 -6.28320573E-07 1.00000000E-04
-1.00000000E-04 -1.45362545E-14 1.00000000E-04
-1.00000000E-04 4.39206426E-18 1.00000000E-04
-1.00000000E-04 1.46632750E-14 1.00000000E-04
-1.00000000E-04 3.61673570E-06 1.00000000E-04
-1.00000000E-04 -5.61434538E-07 1.00000000E-04
-1.00000000E-04 -3.46293104E-06 1.00000000E-04
-1.00000000E-04 2.01432873E-06 1.00000000E-04
-1.00000000E-04 -5.90301800E-08 1.00000000E-04
-1.00000000E-04 -2.77226809E-06 1.00000000E-04
-1.00000000E-04 3.72653350E-08 1.00000000E-04
-1.00000000E-04 -2.66795338E-08 1.00000000E-04
-1.00000000E-04 6.45737270E-08 1.00000000E-04
-1.00000000E-04 -1.25834106E-06 1.00000000E-04
-1.00000000E-04 6.46289108E-07 1.00000000E-04
-1.00000000E-04 5.70922091E-08 1.00000000E-04
-1.00000000E-04 7.77723911E-08 1.00000000E-04
-1.00000000E-04 -5.75567375E-08 1.00000000E-04
-1.00000000E-04 1.50310146E-06 1.00000000E-04
-1.00000000E-04 8.68888408E-07 1.00000000E-04
-1.00000000E-04 -6.92538096E-07 1.00000000E-04
-1.00000000E-04 2.33050020E-06 1.00000000E-04
-1.00000000E-04 -5.08322128E-14 1.00000000E-04
-1.00000000E-04 7.59833550E-14 1.00000000E-04
-1.00000000E-04 -2.52954101E-14 1.00000000E-04
-1.00000000E-04 -2.89014442E-05 1.00000000E-04
-1.00000000E-04 3.06775703E-06 1.00000000E-04
-1.00000000E-04 2.80182338E-05 1.00000000E-04
-1.00000000E-04 -2.44391632E-06 1.00000000E-04
-1.00000000E-04 -5.54476361E-07 1.00000000E-04
-1.00000000E-04 2.88941382E-08 1.00000000E-04
-1.00000000E-04 -1.14973316E-07 1.00000000E-04
-1.00000000E-04 4.52082153E-06 1.00000000E-04
-1.00000000E-04 -7.46513982E-07 1.00000000E-04
-1.00000000E-04 5.79219503E-06 1.00000000E-04
-1.00000000E-04 -2.41193317E-06 1.00000000E-04
-1.00000000E-04 -9.62037932E-06 1.00000000E-04
***************************************
Constraint: intX 	Node: 18 
---------------------------------------
       Lower   Constraint        Upper
