*************
Phase: 1 	Variable: T 	Node: 1 
*************
          lb           xc           ub
0.00000000E+00 3.16182964E-03 1.00000000E+00
*************
Phase: 1 	Variable: Qe 	Node: 1 
*************
          lb           xc           ub
-1.30000000E+00 -1.64325388E-01 1.00000000E+00
-5.23599000E-01 -8.66056135E-02 5.23599000E-01
-1.72072000E+00 1.48188617E-01 5.24821000E-01
-1.22173000E+00 1.68310097E-02 1.74533000E-01
0.00000000E+00 4.36754545E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 19 
*************
          lb           xc           ub
-6.00000000E-01 -2.10212651E-01 3.00000000E-01
-2.00000000E-01 1.34889762E-01 2.00000000E-01
7.00000000E-01 8.95613526E-01 9.00000000E-01
-5.00000000E-02 3.81455602E-02 5.00000000E-02
-5.00000000E-01 -4.05417970E-01 5.00000000E-01
-5.00000000E-02 2.12398551E-02 5.00000000E-02
-6.98132000E-01 1.71003485E-04 6.98132000E-01
-2.62000000E-01 7.49665028E-05 5.24000000E-01
-6.63225000E-01 6.93329586E-07 6.63225000E-01
-8.00000000E-01 -5.64952656E-02 8.00000000E-01
-1.30000000E+00 5.05427215E-01 1.00000000E+00
-5.23599000E-01 -2.50180804E-02 5.23599000E-01
-1.72072000E+00 4.37141869E-01 5.24821000E-01
-1.74533000E-01 -8.41384460E-02 1.22173000E+00
0.00000000E+00 5.84887818E-01 2.38569000E+00
-8.00000000E-01 5.71192076E-02 8.00000000E-01
-1.30000000E+00 -1.64190976E-01 1.00000000E+00
-5.23599000E-01 -8.66262591E-02 5.23599000E-01
-1.72072000E+00 1.48037910E-01 5.24821000E-01
-1.22173000E+00 1.68817222E-02 1.74533000E-01
0.00000000E+00 4.36823367E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 20 
*************
          lb           xc           ub
-6.00000000E-01 -2.10105827E-01 3.00000000E-01
-2.00000000E-01 1.34891777E-01 2.00000000E-01
7.00000000E-01 8.95857761E-01 9.00000000E-01
-5.00000000E-02 3.81819416E-02 5.00000000E-02
-5.00000000E-01 -4.05326562E-01 5.00000000E-01
-5.00000000E-02 2.11636301E-02 5.00000000E-02
-6.98132000E-01 1.66712983E-04 6.98132000E-01
-2.62000000E-01 7.80205384E-05 5.24000000E-01
-6.63225000E-01 8.89433672E-07 6.63225000E-01
-8.00000000E-01 -5.65182290E-02 8.00000000E-01
-1.30000000E+00 5.05631523E-01 1.00000000E+00
-5.23599000E-01 -2.48705053E-02 5.23599000E-01
-1.72072000E+00 4.72328067E-01 5.24821000E-01
-1.74533000E-01 -8.47516993E-02 1.22173000E+00
0.00000000E+00 5.85104599E-01 2.38569000E+00
-8.00000000E-01 5.70683348E-02 8.00000000E-01
-1.30000000E+00 -1.64079360E-01 1.00000000E+00
-5.23599000E-01 -8.66487806E-02 5.23599000E-01
-1.72072000E+00 1.47796906E-01 5.24821000E-01
-1.22173000E+00 1.69526546E-02 1.74533000E-01
0.00000000E+00 4.36877953E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 21 
*************
          lb           xc           ub
-6.00000000E-01 -2.09999081E-01 3.00000000E-01
-2.00000000E-01 1.34895553E-01 2.00000000E-01
7.00000000E-01 8.96135245E-01 9.00000000E-01
-5.00000000E-02 3.82328588E-02 5.00000000E-02
-5.00000000E-01 -4.05049038E-01 5.00000000E-01
-5.00000000E-02 2.10757757E-02 5.00000000E-02
-6.98132000E-01 1.55628332E-04 6.98132000E-01
-2.62000000E-01 7.60086367E-05 5.24000000E-01
-6.63225000E-01 2.17236291E-06 6.63225000E-01
-8.00000000E-01 -5.65151167E-02 8.00000000E-01
-1.30000000E+00 5.05766860E-01 1.00000000E+00
-5.23599000E-01 -2.47520786E-02 5.23599000E-01
-1.72072000E+00 5.07540172E-01 5.24821000E-01
-1.74533000E-01 -8.53551813E-02 1.22173000E+00
0.00000000E+00 5.85327980E-01 2.38569000E+00
-8.00000000E-01 5.70083692E-02 8.00000000E-01
-1.30000000E+00 -1.63978293E-01 1.00000000E+00
-5.23599000E-01 -8.66680249E-02 5.23599000E-01
-1.72072000E+00 1.47707788E-01 5.24821000E-01
-1.22173000E+00 1.69894889E-02 1.74533000E-01
